m,n,time to complete ms
6,6,785.092
6,6,457.2814
6,6,341.1932
6,6,1523.8241
6,6,281.2079
6,6,768.9812
6,6,663.8611
6,6,1608.425
6,6,313.0862
6,6,1367.9965
6,6,733.3247
6,6,11.764299999999999
6,6,527.1751999999999
6,6,1123.4273999999998
6,6,6106.5742
6,6,601.932
6,6,967.5849000000001
6,6,2667.8628
6,6,1365.466
6,6,2707.1266
6,6,977.0394
6,6,144.83329999999998
6,6,526.1913000000001
6,6,2266.4483
6,6,3359.2146000000002
6,6,202.83360000000002
6,6,576.4826999999999
6,6,1326.3786
6,6,11.5529
6,6,1577.5221000000001
6,6,265.7864
6,6,55.170300000000005
6,6,994.7003000000001
6,6,403.61
6,6,66.9965
6,6,87.1075
6,6,2784.4262999999996
6,6,1992.3383999999999
6,6,1403.2192
6,6,327.36670000000004
6,6,151.7965
6,6,1929.802
6,6,1222.4288999999999
6,6,2399.7812999999996
6,6,2057.789
6,6,174.0781
6,6,1193.0392
6,6,1985.2973
6,6,5049.2202
6,6,506.3938
6,6,253.32420000000002
6,6,882.1308
6,6,892.0256999999999
6,6,1254.8338
6,6,6899.834
6,6,575.753
6,6,3273.2722000000003
6,6,4843.419900000001
6,6,1900.8522
6,6,417.0149
6,6,277.4107
6,6,654.3888000000001
6,6,1771.2947
6,6,2725.6677
6,6,957.6583
6,6,2528.3363
6,6,2238.3737
6,6,837.6342
6,6,290.6725
6,6,1422.1553999999999
6,6,749.7885
6,6,2203.378
6,6,1680.2582
6,6,546.6813000000001
6,6,604.8785
6,6,5525.1350999999995
6,6,5759.6089
6,6,732.1141
6,6,1268.3734
6,6,4505.2825
6,6,1154.3313
6,6,435.5173
6,6,199.2241
6,6,1878.3663000000001
6,6,240.9569
6,6,3916.0759
6,6,316.8072
6,6,520.204
6,6,815.1254
6,6,395.17990000000003
6,6,7.050800000000001
6,6,311.5206
6,6,4803.1575
6,6,1151.9949
6,6,482.84459999999996
6,6,464.09790000000004
6,6,2785.9838999999997
6,6,2181.0355
6,6,1061.8865
6,6,3931.3324
6,6,10.119200000000001
6,6,553.6506999999999
6,6,298.6241
6,6,61.8486
6,6,1275.7087
6,6,648.8081999999999
6,6,1543.9303
6,6,4451.1145
6,6,431.0997
6,6,549.2241
6,6,3424.1716
6,6,233.0592
6,6,2555.926
6,6,425.2383
6,6,1820.5398
6,6,630.1608
6,6,988.8408000000001
6,6,98.5407
6,6,927.753
6,6,51.3819
6,6,3234.0867000000003
6,6,1309.0197
6,6,1162.9128
6,6,366.80490000000003
6,6,4038.3378
6,6,2150.106
6,6,2521.4293
6,6,4821.5013
6,6,695.5264
6,6,452.4457
6,6,341.18309999999997
6,6,4432.8736
6,6,500.5625
6,6,744.8043
6,6,29.9114
6,6,4.679
6,6,1246.2419
6,6,555.0651
6,6,1493.1779
6,6,1154.2353
6,6,733.6644
6,6,730.472
6,6,753.8393000000001
6,6,580.0046
6,6,3131.0488
6,6,627.6905
